Cuenta;Nombre;Fuerza;Destreza;Constitucion;Inteligencia;Sabiduria;Carisma;Competencia;LookupCampanha
aaronsaavedra@comasis.com;Aragorn;15;14;13;10;16;12;6;La Cueva del Dragón
eliasqueijeiro@comasis.com;Legolas;12;20;11;14;13;18;5;Campaña de Dragones
manuelcovelo@comasis.com;Gimli;17;10;18;8;14;10;3;La Torre del Mago
monicarodriguez@comasis.com;Gandalf;10;12;10;18;20;14;4;Los Piratas del Mar
natasharey@comasis.com;Boromir;16;13;14;11;12;15;5;La Torre del Mago
pedrocerredelo@comasis.com;Frodo;8;16;10;14;17;13;4;La Cueva del Dragón
rubencabo@comasis.com;Sam;14;12;15;10;18;11;3;Los Piratas del Mar
pedrocerredelo@comasis.com;Merry;11;15;12;13;12;14;4;La Cueva del Dragón
eliasqueijeiro@comasis.com;Pippin;10;14;11;12;13;15;3;El Reino Perdido
manuelcovelo@comasis.com;Arwen;12;13;14;15;17;16;8;Campaña de Dragones
